state,release_period,nurse_communication,doctor_communication,staff_responsiveness,recommend_hospital,communication_score,experience_score,executive_satisfaction_index
MD,07_2019,76.0,77.0,60.0,65.0,76.5,60.0,67.45
MD,07_2020,76.0,78.0,62.0,66.0,77.0,62.0,68.5
MD,07_2021,76.0,77.0,61.0,66.0,76.5,61.0,68.15
MD,07_2022,75.0,76.0,57.0,65.0,75.5,57.0,66.55
MD,07_2023,74.0,76.0,56.0,63.0,75.0,56.0,65.2
ME,07_2015,83.0,84.0,72.0,76.0,83.5,72.0,77.45
ME,07_2016,83.0,83.0,71.0,76.0,83.0,71.0,77.1
ME,07_2017,83.0,83.0,72.0,76.0,83.0,72.0,77.3
ME,07_2018,83.0,83.0,72.0,75.0,83.0,72.0,76.8
ME,07_2019,84.0,83.0,73.0,75.0,83.5,73.0,77.15
ME,07_2020,84.0,84.0,73.0,76.0,84.0,73.0,77.80000000000001
ME,07_2021,85.0,84.0,73.0,75.0,84.5,73.0,77.44999999999999
ME,07_2022,84.0,83.0,70.0,75.0,83.5,70.0,76.55
ME,07_2023,82.0,81.0,68.0,71.0,81.5,68.0,73.55000000000001
MI,07_2015,80.0,81.0,70.0,71.0,80.5,70.0,73.65
MI,07_2016,81.0,81.0,71.0,71.0,81.0,71.0,74.0
MI,07_2017,81.0,81.0,71.0,72.0,81.0,71.0,74.5
MI,07_2018,82.0,81.0,73.0,72.0,81.5,73.0,75.05000000000001
MI,07_2019,82.0,80.0,73.0,71.0,81.0,73.0,74.4
MI,07_2020,82.0,81.0,73.0,72.0,81.5,73.0,75.05000000000001
MI,07_2021,82.0,80.0,73.0,72.0,81.0,73.0,74.9
MI,07_2022,82.0,80.0,70.0,70.0,81.0,70.0,73.3
MI,07_2023,80.0,78.0,68.0,68.0,79.0,68.0,71.30000000000001
MN,07_2015,81.0,84.0,73.0,74.0,82.5,73.0,76.35
MN,07_2016,82.0,84.0,75.0,76.0,83.0,75.0,77.9
MN,07_2017,83.0,84.0,75.0,76.0,83.5,75.0,78.05
MN,07_2018,83.0,84.0,75.0,76.0,83.5,75.0,78.05
MN,07_2019,84.0,85.0,76.0,77.0,84.5,76.0,79.05
MN,07_2020,84.0,85.0,76.0,76.0,84.5,76.0,78.55
MN,07_2021,84.0,85.0,76.0,77.0,84.5,76.0,79.05
MN,07_2022,84.0,85.0,75.0,77.0,84.5,75.0,78.85
MN,07_2023,83.0,84.0,73.0,75.0,83.5,73.0,77.15
MO,07_2015,79.0,82.0,67.0,71.0,80.5,67.0,73.05
